t,z_spreads,z_equities,z_liquidity,z_goldcurrency,z_roro
01aug2023,-.16133097,.56851101,.11578642,1.6592895,.67877358
02aug2023,2.1972246,1.6262977,.077844001,.711191,2.4072697
03aug2023,.67600191,.36273825,-.051144674,-.11921325,.62450641
04aug2023,1.2605051,-.21110618,.08599177,-.93240333,.097110488
07aug2023,-.1978056,-.2980881,-.3005825,.63657981,-.2463568
08aug2023,1.3426809,.42743886,-.21064243,1.0346913,1.0259233
09aug2023,-.86062819,-.1516775,.23025779,.23719668,-.4812102
10aug2023,-1.357605,-.57887059,.12990627,-.23757149,-1.0847251
11aug2023,-.6025672,.45654619,-.24478495,.59485149,.37413317
14aug2023,-.75010014,.041684691,.090195127,.48967549,-.15117818
15aug2023,.72403711,.83849341,.14782989,.16020994,1.0579646
16aug2023,-.26991355,.37045383,-.019721912,.66638857,.33598033
17aug2023,1.6175321,.95467854,.0081863999,.32889768,1.5783422
18aug2023,1.2277663,.21343143,.25344482,.06710133,.77151018
21aug2023,-.67414182,-.23177932,-.69306427,-.078989699,-.5018732
22aug2023,-1.1120547,-.27595776,.14778706,.060526375,-.59406108
23aug2023,.71495837,-.59950048,.32864708,-.75383115,-.25560695
24aug2023,-.69821793,.57930094,-.57630199,.5199424,.28754202
25aug2023,-.9246121,-.13822484,-.066922478,.67245734,-.23539416
28aug2023,.71644986,-.78273851,.30168551,-.41114086,-.55257142
29aug2023,.23572202,-.92556846,.73371851,-.85073626,-.74571431
30aug2023,-.7659356,-.3344039,-.22101277,-.91589516,-.7166819
31aug2023,.69183743,.10222601,-.35074374,.7586773,.47066498
01sep2023,-.55109853,-.034992985,.47809985,.61307532,-.072783448
04sep2023,-.3401134,.18478021,.00069424999,-.051030118,.029740214
05sep2023,.35876527,.31689963,-.74113041,1.1371789,.48511875
06sep2023,-.84918731,.41328007,.18540925,.64567703,.20951191
07sep2023,.60485029,.20175663,.59476525,.017833423,.48116869
08sep2023,-.51985049,-.21212001,-.19301018,-.082894325,-.3714017
11sep2023,-.35594586,-.30661893,-.35062912,-.61236238,-.52485472
12sep2023,-.13008454,.27709505,.21311086,.43649855,.29131168
13sep2023,.17227289,-.022386594,.25634471,.10493488,.10249341
14sep2023,-.6029827,-.96608078,.098831505,.38550413,-1.0553271
15sep2023,-.73331439,.15795287,-.28146288,-.35514766,-.18570751
18sep2023,-.13393955,.61942965,-.068239488,-.4754535,.53915071
19sep2023,-.41222277,.10266167,-.023337487,.042928301,-.022338724
20sep2023,-.45640296,-.13737157,-.26673031,-.19738588,-.37779877
21sep2023,-.0042622532,1.531589,.064729355,.98058528,1.6286954
22sep2023,1.6099449,.11641341,.32880044,-.01742563,.74201101
25sep2023,.79519022,.57600981,-.59438181,.84962624,.95360935
26sep2023,1.2277663,.91098768,-.063741319,.77382922,1.3426099
27sep2023,.10787492,.084910586,-.027807452,1.3067572,.28836241
28sep2023,.82354093,-.44380394,.43433714,-.38675785,-.10257747
29sep2023,-.32565576,-.25060156,.040463347,.66281551,-.28012124
02oct2023,.83456516,.80328393,-.93889022,1.7189702,1.2214643
03oct2023,2.0938687,1.2912776,.6725629,.70913363,2.1781697
04oct2023,1.6838772,-.08726529,.58912152,-.46603009,.69207954
05oct2023,.80675364,-.35210061,-.41853568,-.08300136,-.084645428
06oct2023,-.10311309,-.81039858,-.58900619,-1.0962201,-.89735168
09oct2023,.86154258,.25948292,.0070277639,-.84051883,.57049209
10oct2023,-1.1701609,-1.3924415,1.4520018,-.446289,-1.7042942
11oct2023,-.68955415,-.41076961,-.93264556,-.25185058,-.67368728
12oct2023,-.24061257,.09575659,-.34734905,.91783452,.061759122
13oct2023,.55628031,1.4283557,.43707967,-1.5505003,1.514119
16oct2023,.088187635,-.54028404,-.20587523,-.080724418,-.45173851
17oct2023,-.75781208,-.0088760257,-.39638668,-.33589262,-.35405892
18oct2023,.44907257,1.1514043,.94918507,-.019514579,1.4201691
19oct2023,1.6248196,1.0509996,.32355765,-.91822928,1.5518862
20oct2023,2.6735573,.9591161,-.064350389,-.4096404,1.9080406
23oct2023,-.5078702,-.2915282,-.84207571,-.18274599,-.47283334
24oct2023,-1.3527981,-.54002428,.08115036,.65741277,-.91694629
25oct2023,-.55109549,.33520737,.08728151,-.009334038,.085427076
26oct2023,1.2233748,.81143886,.2050034,.47866717,1.4335728
27oct2023,1.2605051,.21689995,-.1643558,-.9528904,.54738218
30oct2023,-.59100664,-.54309666,-.48760125,-.029152492,-.71011865
31oct2023,-.91637033,-.64410871,.14650337,1.1778854,-.79534435
01nov2023,1.2527952,-.85529339,.74395162,.17994756,-.22964543
02nov2023,-3.9588056,-1.4462233,.40291432,-.95098042,-3.0121877
03nov2023,-.41595995,-.67238235,.032657303,-1.6176354,-.95795703
