Date,Market_and_Exchange_Names,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Dealer_Net_All,Dealer_Net_Ratio_All,Asset_Mgr_Net_All,Asset_Mgr_Net_Ratio_All,Lev_Money_Net_All,Lev_Money_Net_Ratio_All,Other_Rept_Net_All,Other_Rept_Net_Ratio_All,NonRept_Net_All,NonRept_Net_Ratio_All
2019-01-29,BITCOIN-USD - CBOE FUTURES EXCHANGE,3593,55,0,0,0,323,2237,1198,430,2029,3120,1564,473,55,0.015307542443640411,0,0.0,-1914,-0.5327024770386863,768,0.2137489563039243,1091,0.3036459782911216
2019-01-29,BITCOIN - CHICAGO MERCANTILE EXCHANGE,4047,0,97,30,360,2760,2572,227,347,3358,3717,689,330,-97,-0.023968371633308623,-330,-0.08154188287620459,188,0.04645416357795898,-120,-0.029651593773165306,359,0.08870768470471954
2019-02-05,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3881,0,97,32,291,2532,2429,245,354,3186,3548,695,333,-97,-0.0249935583612471,-259,-0.06673537748003092,103,0.026539551661942797,-109,-0.028085544962638494,362,0.09327492914197372
2019-02-05,BITCOIN-USD - CBOE FUTURES EXCHANGE,3672,55,0,0,0,371,2316,1165,434,2085,3244,1587,428,55,0.014978213507625272,0,0.0,-1945,-0.5296840958605664,731,0.19907407407407407,1159,0.3156318082788671
2019-02-12,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3361,0,97,134,205,1697,2090,510,462,2599,3112,762,249,-97,-0.02886045819696519,-71,-0.021124665278191016,-393,-0.11692948527224041,48,0.01428146385004463,513,0.15263314489735197
2019-02-12,BITCOIN-USD - CBOE FUTURES EXCHANGE,3959,55,0,0,27,426,2301,1219,533,2377,3538,1582,421,55,0.013892397069967163,-27,-0.006819904016165698,-1875,-0.4736044455670624,686,0.1732760798181359,1161,0.29325587269512504
2019-02-19,BITCOIN-USD - CBOE FUTURES EXCHANGE,3616,55,0,0,27,486,1692,1183,1338,1960,3293,1656,323,55,0.015210176991150442,-27,-0.007466814159292036,-1206,-0.33351769911504425,-155,-0.04286504424778761,1333,0.36863938053097345
2019-02-19,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3964,0,97,170,165,1834,2259,704,761,3106,3680,858,284,-97,-0.02447023208879919,5,0.0012613521695257316,-425,-0.10721493440968718,-57,-0.01437941473259334,574,0.144803229061554
2019-02-26,BITCOIN-USD - CBOE FUTURES EXCHANGE,3463,55,0,0,27,299,1730,1196,1163,1773,3143,1690,320,55,0.015882183078255847,-27,-0.007796708056598325,-1431,-0.4132255269997112,33,0.009529309846953509,1370,0.3956107421311002
2019-02-26,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3324,0,124,54,283,1575,1885,739,624,2500,3048,824,276,-124,-0.03730445246690734,-229,-0.06889290012033694,-310,-0.09326113116726835,115,0.034596871239470514,548,0.1648616125150421
