bucket_family,bucket,transition_type,rank_reason,run_seed,sample_index,Date_stage2,future_return_stage2,prob_up_stage2,prob_up_stage4,prob_up_delta,pred_class_stage2,pred_class_stage4,correct_stage2,correct_stage4,context__funding_rate_mean_20_normalized,context__funding_rate_max_7_normalized,context__cot_open_interest_change_20_normalized,context__cot_open_interest_zscore_60_normalized,context__cot_lev_money_net_ratio_normalized
funding_max_7_high20,yes,regression,largest_abs_prob_up_delta,43,1030,2021-02-22T00:00:00,0.0902357228551349,0.5055533647537231,0.4783945977687835,-0.02715876698493963,1,0,True,False,2.537022569489749,2.256622313878564,0.3186096187292125,-0.1217830151082931,-2.396257284145168
funding_max_7_high20,yes,regression,largest_abs_prob_up_delta,42,1086,2021-04-19T00:00:00,0.0468731407215194,0.5222777724266052,0.4989007413387298,-0.02337703108787542,1,0,True,False,2.150364338635288,1.879342951308624,-0.3313827504847471,-0.2839043630599761,-2.435941644374247
funding_max_7_high20,yes,regression,largest_abs_prob_up_delta,43,2404,2024-11-27T00:00:00,0.1071385019743258,0.5037149786949158,0.4830676615238189,-0.020647317171096857,1,0,True,False,0.5369716580102868,0.0794370595223924,3.3873391643454656,1.0194098454839415,-1.281820192968358
funding_max_7_high20,yes,regression,largest_abs_prob_up_delta,45,1086,2021-04-19T00:00:00,0.0468731407215194,0.5179962515830994,0.4993210136890411,-0.018675237894058283,1,0,True,False,2.150364338635288,1.879342951308624,-0.3313827504847471,-0.2839043630599761,-2.435941644374247
funding_abs_mean_20_high20,yes,correction,largest_abs_prob_up_delta,42,1084,2021-04-17T00:00:00,-0.0448601871858891,0.5032231211662292,0.472791463136673,-0.030431658029556274,1,0,False,True,2.1884945533534554,3.811967670243965,-0.3313827504847471,-0.3206527861008317,-2.435941644374247
funding_abs_mean_20_high20,yes,correction,largest_abs_prob_up_delta,43,1079,2021-04-12T00:00:00,-0.0548244236551954,0.5087913870811462,0.479749470949173,-0.029041916131973267,1,0,False,True,1.5634268361591854,3.811967670243965,0.2383727351003093,-0.2399596707010164,-2.463738670193471
funding_abs_mean_20_high20,yes,correction,largest_abs_prob_up_delta,42,1079,2021-04-12T00:00:00,-0.0548244236551954,0.5227197408676147,0.4971711933612823,-0.025548547506332453,1,0,False,True,1.5634268361591854,3.811967670243965,0.2383727351003093,-0.2399596707010164,-2.463738670193471
funding_abs_mean_20_high20,yes,correction,largest_abs_prob_up_delta,43,2171,2024-04-08T00:00:00,-0.1187012007819044,0.5031680464744568,0.4779429733753204,-0.025225073099136408,1,0,False,True,0.7294080928253545,0.596891363126222,-2.759836687106325,-0.8581663059975484,-1.664931803876669
funding_abs_mean_20_high20,yes,correction,largest_abs_prob_up_delta,43,1077,2021-04-10T00:00:00,-0.0347145759023094,0.502491295337677,0.4795008897781372,-0.022990405559539795,1,0,False,True,1.2273963485927453,1.7227645597282146,0.2383727351003093,-0.2303118959964304,-2.463738670193471
funding_abs_mean_20_high20,yes,regression,largest_abs_prob_up_delta,43,1030,2021-02-22T00:00:00,0.0902357228551349,0.5055533647537231,0.4783945977687835,-0.02715876698493963,1,0,True,False,2.537022569489749,2.256622313878564,0.3186096187292125,-0.1217830151082931,-2.396257284145168
funding_abs_mean_20_high20,yes,regression,largest_abs_prob_up_delta,42,1086,2021-04-19T00:00:00,0.0468731407215194,0.5222777724266052,0.4989007413387298,-0.02337703108787542,1,0,True,False,2.150364338635288,1.879342951308624,-0.3313827504847471,-0.2839043630599761,-2.435941644374247
funding_abs_mean_20_high20,yes,regression,largest_abs_prob_up_delta,43,1149,2021-06-21T00:00:00,0.0838389657606251,0.5070498585700989,0.4854420125484466,-0.021607846021652277,1,0,True,False,-0.7311449144225417,-0.5081047145983825,-2.759836687106325,-0.10070226838468,-0.6385361199146621
funding_abs_mean_20_high20,yes,regression,largest_abs_prob_up_delta,43,1665,2022-11-19T00:00:00,0.0256205136557314,0.5013471245765686,0.4809154272079468,-0.020431697368621826,1,0,True,False,-0.9930829111821844,-0.5081047145983825,3.3873391643454656,2.380596496189446,0.4799776322021301
funding_abs_mean_20_high20,yes,regression,largest_abs_prob_up_delta,43,1666,2022-11-20T00:00:00,0.0520422623021912,0.5003551244735718,0.4812772870063782,-0.019077837467193604,1,0,True,False,-0.9892571371301944,-0.5081047145983825,3.3873391643454656,2.1278146070938244,0.4799776322021301
cftc_oi_change_20_high20,yes,correction,largest_abs_prob_up_delta,43,2234,2024-06-10T00:00:00,-0.0973251366120218,0.5254558324813843,0.4875709116458893,-0.037884920835494995,1,0,False,True,0.2652779374181714,-0.4991573779366448,3.3873391643454656,0.0911294732802851,-2.463738670193471
cftc_oi_change_20_high20,yes,correction,largest_abs_prob_up_delta,43,2229,2024-06-05T00:00:00,-0.1308149575293918,0.518187403678894,0.4912634491920471,-0.026923954486846924,1,0,False,True,0.2133111732119732,-0.5081047145983825,3.3873391643454656,1.0701561687236347,-2.0155994202039813
