feature,normalized_column,group,missing_rate_all,missing_rate_train,missing_rate_validation,missing_rate_test,train_mean,train_std,train_unique,train_corr_label,train_spearman_label,train_corr_future_return,train_spearman_future_return,train_spearman_end_index,train_abs_spearman_end_index,train_univariate_auc,train_univariate_auc_lift,train_abs_auc_lift,test_spearman_stage2_error_rate,test_abs_spearman_stage2_error_rate,test_spearman_stage2_uncertainty,test_abs_spearman_stage2_uncertainty,train_only_candidate_score
bitmex_homenotional_mean_20,bitmex_homenotional_mean_20_normalized,bitmex_activity,0.0,0.0,0.0,0.0,-2.9650069450495986e-16,1.0007459904058735,659,-0.056338143409178,-0.07005685154612598,-0.08863959044635816,-0.12872818965071842,-0.5818689562224472,0.5818689562224472,0.45934959349593496,-0.04065040650406504,0.04065040650406504,-0.024316966036045263,0.024316966036045263,-0.1911967418334632,0.1911967418334632,0.12872818965071842
bitmex_turnover_mean_20,bitmex_turnover_mean_20_normalized,bitmex_activity,0.0,0.0,0.0,0.0,-2.117862103606856e-16,1.0007459904058735,659,-0.056338143409176505,-0.07005685154612598,-0.08863959044635775,-0.12872818965071842,-0.5818689562224472,0.5818689562224472,0.45934959349593496,-0.04065040650406504,0.04065040650406504,-0.024316966036045263,0.024316966036045263,-0.1911967418334632,0.1911967418334632,0.12872818965071842
cot_open_interest_change_60,cot_open_interest_change_60_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,4.235724207213712e-17,1.0007459904058742,243,-0.1111861777426799,-0.09064725414561206,-0.1279687035457891,-0.12524269497025775,0.19779596741805597,0.19779596741805597,0.44740573233546904,-0.05259426766453096,0.05259426766453096,-0.02761860190546439,0.02761860190546439,-0.040839740967702674,0.040839740967702674,0.1279687035457891
cot_lev_money_net_ratio_change_20,cot_lev_money_net_ratio_change_20_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,0.0,1.0007459904058709,218,0.1103453412141863,0.10556687659042034,0.11993790719180276,0.1010054201325933,-0.03219755832174392,0.03219755832174392,0.5612537913458605,0.06125379134586051,0.06125379134586051,-0.03945563874949123,0.03945563874949123,-0.0394255248774772,0.0394255248774772,0.12250758269172102
cot_open_interest_zscore_60,cot_open_interest_zscore_60_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,-5.29465525901714e-17,1.0007459904058735,629,-0.07548806344524032,-0.07084906071863618,-0.09868800175117262,-0.09306365001477827,-0.01658616772655497,0.01658616772655497,0.4588919399127766,-0.0411080600872234,0.0411080600872234,0.027233059777314002,0.027233059777314002,-0.02471613960554776,0.02471613960554776,0.09868800175117262
cot_other_rept_net_ratio,cot_other_rept_net_ratio_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,0.0,1.0007459904058746,135,0.06604236419137345,0.07894405749349835,0.0366840533442465,0.0776003360011651,0.3020613740637813,0.3020613740637813,0.5458057395143487,0.04580573951434874,0.04580573951434874,-0.004752222272182697,0.004752222272182697,-0.05519900032826339,0.05519900032826339,0.09161147902869748
cot_asset_mgr_net_ratio_change_20,cot_asset_mgr_net_ratio_change_20_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,-2.117862103606856e-17,1.0007459904058744,218,0.0871251434977387,0.07546356962835568,0.06280531384043035,0.06963736532099031,0.1093986435828387,0.1093986435828387,0.5437866795886502,0.043786679588650235,0.043786679588650235,-0.005412549891924932,0.005412549891924932,0.03859044510222847,0.03859044510222847,0.08757335917730047
cot_open_interest_pct_change_20,cot_open_interest_pct_change_20_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,1.058931051803428e-17,1.0007459904058733,219,-0.0009478375239775811,-0.057044266461107204,-0.021400777704126774,-0.06078710249881367,-0.054388873024383125,0.054388873024383125,0.4669008776180477,-0.033099122381952284,0.033099122381952284,-0.013118317886068154,0.013118317886068154,-0.04505334850809306,0.04505334850809306,0.06619824476390457
cot_dealer_net_ratio_change_20,cot_dealer_net_ratio_change_20_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,-3.176793155410284e-17,1.000745990405874,169,-0.06237864217826252,-0.03148620975885828,-0.06595910738811203,-0.023027527338259517,-0.06113401949757245,0.06113401949757245,0.4817970530698684,-0.01820294693013158,0.01820294693013158,0.024059015762570843,0.024059015762570843,0.028482000578597667,0.028482000578597667,0.06595910738811203
cot_dealer_net_ratio_change_60,cot_dealer_net_ratio_change_60_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,4.235724207213712e-17,1.000745990405874,194,0.03412744867927328,0.04630020626989091,0.06038972112909972,0.0602812685517007,-0.05659715453808592,0.05659715453808592,0.5268220894129471,0.02682208941294706,0.02682208941294706,-0.05217228888269813,0.05217228888269813,-0.04244450244333202,0.04244450244333202,0.06038972112909972
cot_age_days,cot_age_days_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,7.081601408935424e-17,1.000745990405872,7,0.02027417866119705,0.02037102073160035,0.03624104745998449,0.02267525574554103,0.005943172726082772,0.005943172726082772,0.5116970871695472,0.011697087169547205,0.011697087169547205,0.02092334613919551,0.02092334613919551,-0.01696430881464944,0.01696430881464944,0.03624104745998449
cot_asset_mgr_net_ratio_change_60,cot_asset_mgr_net_ratio_change_60_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,0.0,1.0007459904058724,251,0.016440072258666057,0.0089934697168148,0.03381387701745399,0.03555003396632807,0.20866510463801907,0.20866510463801907,0.5052181482079722,0.005218148207972173,0.005218148207972173,0.07683852191767215,0.07683852191767215,0.03594946609492383,0.03594946609492383,0.03555003396632807
cot_open_interest_change_20,cot_open_interest_change_20_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,-2.64732762950857e-17,1.0007459904058749,213,0.007792547859611094,-0.026863440242040935,0.01223673319104478,-0.020775264584894815,-0.008345386380097358,0.008345386380097358,0.48441285737360684,-0.015587142626393158,0.015587142626393158,-0.01625947587692081,0.01625947587692081,-0.030723837733212342,0.030723837733212342,0.031174285252786316
cot_lev_money_net_ratio_change_60,cot_lev_money_net_ratio_change_60_normalized,cftc_cme_oi_positioning,0.0,0.0,0.0,0.0,-1.058931051803428e-17,1.000745990405874,252,0.005877954989278104,-0.0009975708906206212,0.0004399997868238948,-0.016022168579388735,-0.13233377030881133,0.13233377030881133,0.49942120282129976,-0.0005787971787002411,0.0005787971787002411,0.0499078534131512,0.0499078534131512,0.04125039546832792,0.04125039546832792,0.016022168579388735
funding_rate_min_60,funding_rate_min_60_normalized,bitmex_funding,0.0,0.0,0.0,0.0,0.0,1.0007459904058764,50,0.014102595598336206,0.0033529251913287992,-0.001035244206640178,-0.002006018223950338,0.5987423435455478,0.5987423435455478,0.5019427843285056,0.0019427843285055868,0.0019427843285055868,0.030100848570473494,0.030100848570473494,-0.06715815787798567,0.06715815787798567,0.014102595598336206
