feature,family,source_feature,num_rows_all,missing_rate_all,missing_rate_train,train_mean,train_std,train_unique,train_corr_label,train_abs_corr_label,train_corr_future_return,train_abs_corr_future_return,train_spearman_future_return,train_abs_spearman_future_return,test_corr_stage2_error_rate,test_abs_corr_stage2_error_rate,test_corr_stage2_prob_up_mean,test_abs_corr_stage2_prob_up_mean,test_corr_stage2_uncertainty,test_abs_corr_stage2_uncertainty,train_only_candidate_score
news__news_svd_20d_08_normalized,news,news_svd_20d_08_normalized,2399,0.0,0.0,2.382594866557713e-17,1.0007459904058738,656,-0.1213316466138651,0.1213316466138651,-0.12555563503103323,0.12555563503103323,-0.1274071280396912,0.1274071280396912,0.05350225012933763,0.05350225012933763,-0.025048143003351214,0.025048143003351214,-0.06552675853562509,0.06552675853562509,0.1274071280396912
fsi__ofr_fsi_value_normalized,fsi,ofr_fsi_value_normalized,2399,0.0,0.0,6.353586310820568e-17,1.000745990405874,463,0.12521402528741626,0.12521402528741626,0.11117132837229345,0.11117132837229345,0.02270909915288578,0.02270909915288578,-0.021748112078029815,0.021748112078029815,-0.10952565003743778,0.10952565003743778,0.13616017274397735,0.13616017274397735,0.12521402528741626
technical__rv_60_normalized,technical,rv_60_normalized,2399,0.0,0.0,2.0119689984265133e-16,1.0007459904058738,659,0.026531250977858703,0.026531250977858703,0.05267226034456644,0.05267226034456644,-0.12410845264199306,0.12410845264199306,0.02408690032003771,0.02408690032003771,0.1257346101763064,0.1257346101763064,-0.06451102407979192,0.06451102407979192,0.12410845264199306
news__news_svd_20d_14_normalized,news,news_svd_20d_14_normalized,2399,0.0,0.0,1.588396577705142e-17,1.000745990405874,656,-0.07734962775561344,0.07734962775561344,-0.10935114837308095,0.10935114837308095,-0.12304859316557543,0.12304859316557543,-0.018726321184789854,0.018726321184789854,-0.12815457942331723,0.12815457942331723,0.14129128207263356,0.14129128207263356,0.12304859316557543
news__news_svd_20d_26_normalized,news,news_svd_20d_26_normalized,2399,0.0,0.0,1.323663814754285e-17,1.000745990405874,656,-0.12186515903358772,0.12186515903358772,-0.0825092149716992,0.0825092149716992,-0.1180426532070414,0.1180426532070414,-0.021149235898824066,0.021149235898824066,-0.2229465662026088,0.2229465662026088,0.11983735851702036,0.11983735851702036,0.12186515903358772
news__news_svd_20d_00_normalized,news,news_svd_20d_00_normalized,2399,0.0,0.0,5.082869048656454e-16,1.0007459904058724,656,0.08910267898341483,0.08910267898341483,0.12127207447728947,0.12127207447728947,0.07858379194425898,0.07858379194425898,0.01743211113175252,0.01743211113175252,0.04107807857922056,0.04107807857922056,-0.05928380481407336,0.05928380481407336,0.12127207447728947
roro__roro_proxy_std_60_normalized,roro,roro_proxy_std_60_normalized,2399,0.0,0.0,-1.058931051803428e-16,1.0007459904058746,659,0.1211434252146837,0.1211434252146837,0.09504226383425321,0.09504226383425321,-0.057458738701329615,0.057458738701329615,0.0763747991646111,0.0763747991646111,-0.0749644143460554,0.0749644143460554,0.05561819204475607,0.05561819204475607,0.1211434252146837
news__unique_source_count_log1p_20d_normalized,news,unique_source_count_log1p_20d_normalized,2399,0.0,0.0,2.541434524328227e-16,1.0007459904058715,18,-0.11135809365537745,0.11135809365537745,-0.0941087267998729,0.0941087267998729,-0.11717695324760771,0.11717695324760771,0.055790498023400734,0.055790498023400734,0.1480848431656426,0.1480848431656426,-0.04637098858891052,0.04637098858891052,0.11717695324760771
news__news_svd_20d_24_normalized,news,news_svd_20d_24_normalized,2399,0.0,0.0,7.94198288852571e-18,1.0007459904058733,657,0.05155948250099693,0.05155948250099693,0.09367430483092318,0.09367430483092318,0.11407188897369692,0.11407188897369692,0.06612647115306367,0.06612647115306367,-0.06507457066653707,0.06507457066653707,0.09332824466226378,0.09332824466226378,0.11407188897369692
news__news_svd_60d_13_normalized,news,news_svd_60d_13_normalized,2399,0.0,0.0,-2.912060392459427e-17,1.0007459904058735,659,0.04905740874424655,0.04905740874424655,0.11268409600231116,0.11268409600231116,0.1045459680237597,0.1045459680237597,0.01810453893550036,0.01810453893550036,0.1113521005859857,0.1113521005859857,-0.11308168390465237,0.11308168390465237,0.11268409600231116
