split,window_days,feature,mean,std,min,max
test,7,news_svd_7d_25,-0.008212453765056221,0.01099423998764381,-0.04092930406332936,0.03465907016342573
test,7,news_svd_7d_26,-0.009352986012067832,0.014150222544586036,-0.05423925030776219,0.03513447069888808
test,7,news_svd_7d_27,0.019518937848440873,0.012887119019202415,-0.021865244605912833,0.06136550804098737
test,7,news_svd_7d_28,0.014202211883234134,0.013536142524812804,-0.02298200208844861,0.051990921222893643
test,7,news_svd_7d_29,-0.0015764821218240107,0.012925169202099922,-0.03761196237137364,0.03805837731636722
test,7,news_svd_7d_30,-0.008246499323029937,0.012845856969717769,-0.051323936536968956,0.028721123957231705
test,7,news_svd_7d_31,-0.011004360673204969,0.013321929951952105,-0.052942373908229555,0.03255946945819239
test,20,news_svd_20d_00,0.40418029614966067,0.043236374447263075,0.2591651756970628,0.4923213098529533
test,20,news_svd_20d_01,0.06935564636834941,0.02915650415499436,-0.016388937343566164,0.16638340860019668
test,20,news_svd_20d_02,-0.034996237778120554,0.015447121487858095,-0.07989944812559481,0.003435779079930339
test,20,news_svd_20d_03,-0.013666184201954158,0.016930996201682983,-0.07811810026103061,0.031254238815395845
test,20,news_svd_20d_04,-0.0055249606776309815,0.011858328695407198,-0.03983126377150173,0.03266068553690977
test,20,news_svd_20d_05,0.01138499511989301,0.014054749862993508,-0.02314571194068711,0.05385252263675457
test,20,news_svd_20d_06,0.015545896858544829,0.011507176841073821,-0.02578488341545973,0.04488880759492937
test,20,news_svd_20d_07,0.024357573395800657,0.014395638990019026,-0.010893846842715356,0.0674399421173244
test,20,news_svd_20d_08,0.01832721987362561,0.013292138571008914,-0.01683150406948872,0.05926612824762083
test,20,news_svd_20d_09,0.03385806595172538,0.016283159769900385,-0.005060782394470347,0.08554501626271763
test,20,news_svd_20d_10,0.010064387479607929,0.01675004426305741,-0.03594217803933571,0.05516793168706113
test,20,news_svd_20d_11,-0.008475327106023875,0.01207666727142967,-0.05194576859553005,0.03874930938756006
test,20,news_svd_20d_12,-0.008020069889270974,0.01244832361891867,-0.04748525819267292,0.020539044293292234
test,20,news_svd_20d_13,0.013091538766226669,0.0106272272335342,-0.015688219877164077,0.053356486059432204
test,20,news_svd_20d_14,-0.008996492389698794,0.012050290616477097,-0.05336647011008635,0.02507040824749278
test,20,news_svd_20d_15,-0.005366535784966334,0.010382893072304306,-0.042751569857607245,0.022612386090568558
test,20,news_svd_20d_16,-0.010431358783141775,0.01106288128318212,-0.05309741515254213,0.02679599490972517
test,20,news_svd_20d_17,-0.009828151306863998,0.021415792978875758,-0.05584985028687461,0.06983436098808647
test,20,news_svd_20d_18,-0.0024714071041011146,0.011434216264468531,-0.031767203875663015,0.029059869985535437
test,20,news_svd_20d_19,0.009455367305733079,0.011349796427176989,-0.021824381354342136,0.04438844570062231
test,20,news_svd_20d_20,-0.0020187018473013627,0.013703177425478302,-0.033877131590558565,0.04831707030242979
test,20,news_svd_20d_21,-0.004259299993421262,0.012648707609302036,-0.05234932083417522,0.034190236009041405
test,20,news_svd_20d_22,-0.010385235186226919,0.011207215437265425,-0.0431238450187191,0.017631579990184994
test,20,news_svd_20d_23,-0.00017418467573496733,0.012324114510040216,-0.03498758386066592,0.041774772873931915
test,20,news_svd_20d_24,-0.0012214500124274829,0.012603375043118868,-0.029443374730977273,0.038726357463327886
test,20,news_svd_20d_25,-0.006979530684453267,0.010338041161304646,-0.03962703105327069,0.028519884081548083
test,20,news_svd_20d_26,-0.010855670474587612,0.011368507171011216,-0.04616275279460878,0.02391302638880209
test,20,news_svd_20d_27,0.027240871788594263,0.010388162138695678,-0.014535582825330141,0.054987526693529826
test,20,news_svd_20d_28,0.009655085576779604,0.012204367856602623,-0.02295435673650435,0.04567243426118794
test,20,news_svd_20d_29,-0.0037849990460442472,0.010785345298868211,-0.03583341268316758,0.02657841427582312
test,20,news_svd_20d_30,-0.010310768086550856,0.01130465860952976,-0.049463848070849276,0.02535600345639111
test,20,news_svd_20d_31,-0.009851396401427156,0.011870928943153681,-0.051256400134538076,0.02842971415030592
test,60,news_svd_60d_00,0.5211371696339762,0.03805368122029409,0.40989117122505714,0.5870834334112501
test,60,news_svd_60d_01,0.07227360634127038,0.030165232749557343,0.024553277888601885,0.23676330646425356
test,60,news_svd_60d_02,-0.036630440127536,0.015452705912570508,-0.1300935989610843,-0.0070370224280939695
test,60,news_svd_60d_03,-0.027918957480157342,0.016983407309406902,-0.10412150137492089,0.008127692401572571
test,60,news_svd_60d_04,-0.016336476727625733,0.010060801766294656,-0.04319465027078897,0.014808003575164682
test,60,news_svd_60d_05,0.020273958215140383,0.01294712917171061,-0.006089562836173335,0.05897873978429106
test,60,news_svd_60d_06,0.015595956286101756,0.010317890659244502,-0.012968714478821464,0.06537434102218308
test,60,news_svd_60d_07,0.032525959389487505,0.01428656364748034,0.0057549254550513795,0.11204272218729974
test,60,news_svd_60d_08,0.022096335387076903,0.015833986985262408,-0.014875946452619278,0.1543070916059723
test,60,news_svd_60d_09,0.038892114029414324,0.02323779427365449,0.00798487533281206,0.23923296278217987
