Date,AdrActCnt,TxCnt,HashRate
2023-05-13,705679,581550,346023366.366878
2023-05-14,835319,626942,415228040.3275276
2023-05-15,817441,526691,350796102.85758173
2023-05-16,814467,564700,365114312.32969296
2023-05-17,841652,579967,381818888.3289712
2023-05-18,814709,478050,345151895.57295674
2023-05-19,904374,513521,369469366.94369566
2023-05-20,719434,423450,322669911.9767492
2023-05-21,775828,487763,371932494.47236896
2023-05-22,817592,506455,354690591.130938
2023-05-23,859507,514901,379321880.6052949
2023-05-24,859470,398061,347301204.99801207
2023-05-25,923963,466257,371932494.47236896
2023-05-26,963216,533103,376858753.0766216
2023-05-27,877266,469559,357153718.6596113
2023-05-28,863880,499561,394100656.41805273
2023-05-29,912071,548854,399026915.0223052
2023-05-30,959148,511408,379321880.6052949
2023-05-31,925966,421021,350148490.60783935
2023-06-01,919298,351891,336187210.7165766
2023-06-02,982760,485798,417687139.4758992
2023-06-03,873884,380045,331093464.71068186
2023-06-04,879948,357474,376937175.09623784
2023-06-05,884289,363110,351468445.06676406
2023-06-06,1032895,468063,384577792.2713316
2023-06-07,1004588,429649,343827827.89167035
2023-06-08,964762,403263,392218409.44642526
2023-06-09,1020140,387748,430421502.6568876
2023-06-10,943047,364874,392218409.44642526
2023-06-11,872589,401105,415140264.63920337
2023-06-12,985947,371500,399859030.28901595
2023-06-13,933842,405497,374390300.2595421
2023-06-14,828183,333934,312665624.1002992
2023-06-15,919869,421465,385148460.99591213
2023-06-16,958674,521861,398160232.4659681
2023-06-17,863600,468094,364329623.64591026
2023-06-18,883864,442763,392955523.1284677
2023-06-19,920552,412858,369534332.9834107
2023-06-20,951926,446312,353920204.9709093
2023-06-21,920555,363604,314884890.5607413
2023-06-22,1000988,390860,356522561.5133547
2023-06-23,948738,373178,325294309.2357422
2023-06-24,1011110,360123,379943751.6584117
2023-06-25,944147,384437,398160232.4659681
2023-06-26,998904,405162,379943751.6584117
2023-06-27,978594,433747,364329623.64591026
2023-06-28,826245,331234,280122385.0259662
2023-06-29,970467,435226,367574940.7040657
2023-06-30,1067040,446825,397786578.42446953
2023-07-01,918349,320180,334845664.3921468
2023-07-02,997177,307552,430515854.7363883
2023-07-03,977874,333178,344916211.5074136
2023-07-04,963366,377184,354986758.6226805
2023-07-05,964759,494320,392751304.8668361
2023-07-06,973154,393611,349951485.065047
2023-07-07,1021136,558253,440586401.8516551
2023-07-08,1009931,574664,448139310.37540686
2023-07-09,978223,593770,425480581.17875487
2023-07-10,925790,508406,387716031.30920255
2023-07-11,937945,430012,339880937.9497802
2023-07-12,942309,477324,383801277.4233714
2023-07-13,874515,373263,321592672.2254732
2023-07-14,996373,421261,369831573.2522498
2023-07-15,914738,489697,369831573.2522498
2023-07-16,927843,591972,415390537.04825526
2023-07-17,931087,440009,364471694.9315955
2023-07-18,1028951,569852,434150109.24098927
2023-07-19,969285,482668,396630964.85552126
2023-07-20,901211,398519,343032185.5080904
2023-07-21,855163,322339,300153162.8019681
2023-07-22,923147,288229,359111820.47005326
2023-07-23,894084,560423,393951023.76563805
2023-07-24,938461,530301,401990843.1761756
2023-07-25,940528,463976,369831573.2522498
2023-07-26,1015337,451236,380796719.35454816
2023-07-27,943734,413776,358973120.0187306
2023-07-28,948590,448372,364175629.4388057
2023-07-29,889450,423912,343365595.50431174
2023-07-30,1010937,645339,437010757.5740507
2023-07-31,922082,446746,366776886.02174646
2023-08-01,983005,405391,361574376.60167134
2023-08-02,1069904,393762,400593191.63352495
2023-08-03,1030326,476666,392789429.3763156
2023-08-04,912508,318338,314751795.5668019
2023-08-05,992041,499440,400593191.63352495
2023-08-06,973822,611086,426605738.7339005
2023-08-07,952272,423178,379783157.69903105
2023-08-08,874562,332667,325156814.4069521
2023-08-09,1057273,508817,421665740.3548995
2023-08-10,947623,355773,330756211.7722732
2023-08-11,954168,502936,393261324.22346073
2023-08-12,926800,512116,434931397.9408168
2023-08-13,860881,497535,351591250.5061046
2023-08-14,1007719,563322,445348917.30773246
2023-08-15,1073564,581895,445348917.30773246
2023-08-16,947796,574119,424513878.57390106
2023-08-17,1050502,492845,406283221.556952
2023-08-18,1016460,424283,362008769.87302023
2023-08-19,878361,521811,364613147.83959585
2023-08-20,929724,611930,421909500.6073255
2023-08-21,1002377,551541,429722638.2573589
2023-08-22,922178,422819,381739775.69656736
2023-08-23,937656,409372,392623891.47878736
2023-08-24,946410,401881,384329021.8498855
2023-08-25,922155,425953,373269193.0236576
2023-08-26,917123,499325,378799107.4367715
2023-08-27,808508,411227,320735012.071382
2023-08-28,873786,326485,326264922.5029578
2023-08-29,1060996,509039,436863202.8021611
2023-08-30,877649,406652,348384580.15541375
2023-08-31,968985,433684,398153805.89190143
2023-09-01,1051172,418665,417508504.3470313
2023-09-02,955720,545957,420273463.5443573
2023-09-03,864433,627700,436863202.8021611
2023-09-04,920027,575666,411978589.9339173
2023-09-05,940913,453308,342854665.74229974
2023-09-06,1001123,485735,364053703.2546238
2023-09-07,1003310,541513,393005454.3704645
2023-09-08,986937,408954,358011817.1993768
2023-09-09,1116330,599142,406464544.39743114
2023-09-10,1049360,557602,395697270.8253705
2023-09-11,1120614,463598,427999091.5415522
2023-09-12,1042537,461193,379546364.3434978
2023-09-13,1049105,513232,395697270.8253705
2023-09-14,1131002,574875,436074544.78248847
2023-09-15,1234300,708663,506061819.12466395
2023-09-16,1053706,591563,417231817.9694916
2023-09-17,1039207,616879,401080907.6114008
2023-09-18,1125172,625728,419923634.4243977
2023-09-19,1035954,491377,386415687.751435
2023-09-20,1062056,561350,414558854.2037332
2023-09-21,1078476,427398,391843298.7563836
2023-09-22,978848,433758,366288300.9225151
2023-09-23,1090192,639336,442953294.42412055
2023-09-24,1061159,428059,414558854.2037332
2023-09-25,1104115,294377,411719407.72841465
2023-09-26,1027673,305251,386164409.89454615
2023-09-27,1072094,341149,445792740.8994391
2023-09-28,1045920,376671,414558854.2037332
2023-09-29,1050872,323661,417398296.5902521
2023-09-30,1019753,280334,391843298.7563836
2023-10-01,921731,320190,400361634.09353954
2023-10-02,1027085,340200,445792740.8994391
2023-10-03,1077556,309334,466801496.99817747
2023-10-04,904067,293693,373280258.5727724
2023-10-05,946720,321037,401774937.14888096
2023-10-06,915218,293272,455914820.2886373
2023-10-07,853582,242646,487258964.67074
2023-10-08,786381,243277,421721210.10054034
2023-10-09,942188,280007,444516948.85819376
2023-10-10,903210,283755,461613756.003859
2023-10-11,867301,265623,455914820.2886373
2023-10-12,911879,272350,470162157.5250749
2023-10-13,917035,278419,393226531.5244317
2023-10-14,806946,258882,416022274.3853186
2023-10-15,795940,258142,475861093.24029666
2023-10-16,1018543,298000,417078811.47604144
2023-10-17,917408,294069,491483968.44434166
2023-10-18,932487,275052,439908488.33259135
2023-10-19,918882,282274,424739231.01810473
2023-10-20,952627,293330,406536123.98821926
2023-10-21,871252,268430,455077750.0158244
2023-10-22,795000,247456,464179303.53076714
2023-10-23,1071672,312741,476314711.12985504
2023-10-24,1021188,372695,382265308.79004353
2023-10-25,1090466,477890,436874638.61719257
2023-10-26,1099370,429794,455077750.0158244
2023-10-27,1052994,456280,467213153.24616593
2023-10-28,1018571,564578,485416264.6447977
2023-10-29,909920,403706,415637677.503162
2023-10-30,1097494,461480,482896145.81756824
2023-10-31,1044499,437895,481286783.3729944
2023-11-01,1053031,461955,462656325.77122176
2023-11-02,1062991,410238,447130946.6720661
2023-11-03,990903,450384,422290336.53636926
2023-11-04,1118816,704138,521652772.60784686
2023-11-05,1144443,666535,506127389.0373817
2023-11-06,993108,439013,394344652.3693652
2023-11-07,961106,449873,412975109.97113776
2023-11-08,1004807,585167,462656325.77122176
2023-11-09,989778,571031,444025872.6407587
2023-11-10,1127201,526138,478181704.8703776
2023-11-11,1073475,628048,496812162.47215015
2023-11-12,1008655,706503,506634196.247056
2023-11-13,963722,418873,389037995.7448952
2023-11-14,957065,525384,443696223.8353265
2023-11-15,961281,569166,475848126.79723346
2023-11-16,933700,628280,475848126.79723346
2023-11-17,1014052,532945,482278507.3896148
2023-11-18,860889,629610,479063314.77848727
2023-11-19,962703,712264,546582308.683555
2023-11-20,1064908,630519,533721547.49879223
2023-11-21,1007505,530112,488708887.9819962
2023-11-22,979014,536770,456556985.02008927
2023-11-23,970303,586979,472632934.1861059
2023-11-24,1136807,624489,540151928.0911736
2023-11-25,1032695,612626,511704247.86252016
2023-11-26,983533,578192,493217212.10255015
2023-11-27,981736,478456,439166011.3759895
2023-11-28,996007,447781,496595410.0196941
2023-11-29,915309,358838,459435208.60806966
2023-11-30,958958,410936,452678812.77378166
2023-12-01,1131524,497410,570915812.8429431
2023-12-02,860355,435763,429031407.8953413
2023-12-03,919493,707186,557403011.4451509
2023-12-04,1034656,567712,523621012.8152785
2023-12-05,867570,513549,466191609.30696577
2023-12-06,867353,469800,459435208.60806966
2023-12-07,898183,368965,388493008.5665728
2023-12-08,924415,411806,456057010.69092566
2023-12-09,927620,593873,530377413.5141746
2023-12-10,848613,528723,469156589.98176646
2023-12-11,1010741,528218,528635574.13248897
2023-12-12,886419,547067,481794448.28640914
2023-12-13,742559,586126,498523421.1145884
2023-12-14,711343,569840,488486038.3812697
2023-12-15,860116,632050,545364546.9606683
2023-12-16,724669,636141,508560808.6658516
2023-12-17,703993,621213,501869218.570991
2023-12-18,928612,641771,562093524.6067921
2023-12-19,817240,662370,542018754.3222103
2023-12-20,787679,580281,485140240.9248672
2023-12-21,815395,589222,488486038.3812697
2023-12-22,1012121,623750,562093524.6067921
2023-12-23,893092,609387,561495983.9886068
2023-12-24,880971,724746,612085087.5512701
2023-12-25,702609,531891,497542850.09060687
2023-12-26,742922,556724,497542850.09060687
2023-12-27,776011,541778,461748397.6626492
2023-12-28,848615,417387,433112840.8746837
2023-12-29,910761,579710,540496187.8497554
2023-12-30,787521,540497,519019516.3929808
2023-12-31,791644,724837,558393411.4865339
2024-01-01,827239,655722,554813968.8209385
2024-01-02,867688,364237,468907288.14824075
2024-01-03,940343,502203,565552301.9721255
2024-01-04,1010934,482718,608505644.8856747
2024-01-05,813324,416347,493963402.27061075
2024-01-06,808917,389306,509355148.23104286
2024-01-07,713381,348435,429363545.3243672
2024-01-08,756849,409400,447556920.0629499
2024-01-09,902934,470829,553078470.4920906
2024-01-10,839431,384427,483943659.060734
2024-01-11,960999,450822,629490625.5312515
2024-01-12,987727,367870,611297256.0323596
2024-01-13,845713,667027,578549188.8384776
2024-01-14,722721,591106,465750289.5618419
2024-01-15,786699,401054,414808852.869068
2024-01-16,782242,469892,454834268.91044486
2024-01-17,809220,455050,440279571.21545494
2024-01-18,897358,480795,516691726.2546159
2024-01-19,806018,461325,480304987.25683194
2024-01-20,817313,565601,512668948.5237081
2024-01-21,767739,593968,489551346.64456606
2024-01-22,951076,451204,559487254.0274162
2024-01-23,865990,368563,538506480.3019456
2024-01-24,899326,368789,524519302.8536838
2024-01-25,1101397,347123,632919954.5134856
2024-01-26,892906,496525,531512894.0955074
2024-01-27,965883,603739,597952003.3397532
2024-01-28,898096,629248,559487254.0274162
2024-01-29,959589,580828,545500071.5437692
2024-01-30,907924,524001,503538529.1282132
2024-01-31,870798,437107,458080188.5740528
2024-02-01,933880,410372,535009687.1987265
2024-02-02,932903,432087,677399664.675745
2024-02-03,820828,515129,566738184.0279739
2024-02-04,802004,331515,581751117.2721473
2024-02-05,852467,281772,585504347.8808628
2024-02-06,865722,280196,638049614.2354698
2024-02-07,901234,425025,600517281.1250362
2024-02-08,818130,287438,517946153.6867381
2024-02-09,950564,330447,623036680.9912964
2024-02-10,963958,406003,570491420.041345
2024-02-11,840255,323411,514192923.0780225
2024-02-12,1013562,413637,671828711.3325322
2024-02-13,843469,305214,506686456.45593584
2024-02-14,803805,298455,521699389.7001092
2024-02-15,892019,309299,606890743.6292629
2024-02-16,836256,306995,544386619.0220116
2024-02-17,850883,330435,609388005.4074552
2024-02-18,748090,346126,491572990.75567466
2024-02-19,867774,366190,552511787.2013328
2024-02-20,866223,396745,572824725.2000104
2024-02-21,821320,369350,560636961.2307789
2024-02-22,855859,366922,548449203.1116722
2024-02-23,938307,403218,645951285.6149
2024-02-24,819174,342157,556574377.1411183
2024-02-25,894568,421219,666264217.7634528
2024-02-26,887140,355313,540324029.0822262
