bucket_family,bucket,n,stage2_acc,film_acc,delta_acc,corrections,regressions,net_corrections,correction_rate,regression_rate,net_correction_rate,changed_predictions,changed_prediction_rate,label_positive_rate,stage2_pred_up_rate,film_pred_up_rate,mean_stage2_prob_up,mean_film_prob_up,mean_prob_up_delta,mean_true_prob_delta
stage2_high_conf,no,3184,0.5555904522613065,0.5584170854271356,0.0028266331658290955,95,86,9,0.029836683417085428,0.02701005025125628,0.002826633165829146,181,0.05684673366834171,0.5336055276381909,0.5772613065326633,0.5204145728643216,0.5213769933199464,0.5005693732756167,-0.020807620044329612,-0.000492699856135115
stage2_high_conf,yes,4021,0.5981099229047501,0.5981099229047501,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.5473762745585675,0.7333996518279035,0.7333996518279035,0.6585569728633264,0.6460810850944868,-0.012475887768839533,-0.0006699176619625665
stage2_high_down_conf,no,6133,0.5765530735366052,0.5780205445948149,0.0014674710582096573,95,86,9,0.015489972281102235,0.014022501222892548,0.0014674710582096853,181,0.02951247350399478,0.5651394097505299,0.7805315506277515,0.7510190771237567,0.6705753755048537,0.6536013352896209,-0.016974040215232675,-0.0011595342008826133
stage2_high_down_conf,yes,1072,0.5951492537313433,0.5951492537313433,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.4048507462686567,0.0,0.0,0.18235369089820574,0.17086561412616535,-0.011488076772040346,0.00265758208332778
stage2_high_up_conf,no,4256,0.5655545112781954,0.5676691729323309,0.00211466165413543,95,86,9,0.022321428571428572,0.020206766917293232,0.0021146616541353382,181,0.042528195488721804,0.5011748120300752,0.4318609022556391,0.3893327067669173,0.4359839058678538,0.4175236895800782,-0.018460216287775548,0.000300792211323584
stage2_high_up_conf,yes,2949,0.5991861648016277,0.5991861648016277,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.5991861648016277,1.0,1.0,0.8316630828214848,0.8188281128591665,-0.012834969962318246,-0.0018795072607931031
stage2_uncertain_40_60,no,5632,0.5912642045454546,0.5912642045454546,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.5435014204545454,0.7008167613636364,0.7008167613636364,0.6239909011199581,0.6093922868271462,-0.014598614292811894,-0.0006382972529867076
stage2_uncertain_40_60,yes,1573,0.536554354736173,0.5422759059122696,0.005721551176096629,95,86,9,0.06039415130324221,0.05467260012714558,0.00572155117609663,181,0.11506675143038779,0.533375715193897,0.5340114431023522,0.4189446916719644,0.5046441064885825,0.4829037306192038,-0.021740375869378683,-0.0004244152141541956
stage2_uncertain_45_55,no,6404,0.5868207370393504,0.5866645846346034,-0.0001561524047470897,1,2,-1,0.0001561524047470331,0.0003123048094940662,-0.0001561524047470331,3,0.00046845721424109934,0.5432542161149282,0.6828544659587757,0.6823860087445347,0.6100036861463104,0.594617868333137,-0.015385817813173325,-0.0006643024795013323
stage2_uncertain_45_55,yes,801,0.519350811485643,0.5318352059925093,0.012484394506866336,94,84,10,0.11735330836454431,0.10486891385767791,0.012484394506866416,178,0.2222222222222222,0.5255930087390761,0.5168539325842697,0.29463171036204744,0.5014461030376687,0.47911622830098044,-0.02232987473668822,-1.036477148458725e-05
